Generated	O3 Value	NO2 Value	PM10 Value
“02/11/2017 00:00”	9	43	18
“02/11/2017 01:00”	5	41	15
“02/11/2017 02:00”	6	31	14
“02/11/2017 03:00”	9	25	13
“02/11/2017 04:00”	8	24	11
“02/11/2017 05:00”	8	22	10
“02/11/2017 06:00”	6	26	12
“02/11/2017 07:00”	6	26	13
“02/11/2017 08:00”	4	39	19
“02/11/2017 09:00”	9	46	29
“02/11/2017 10:00”	25	34	25
“02/11/2017 11:00”	46	28	22
“02/11/2017 12:00”	76	21	18
“02/11/2017 13:00”	88	14	16
“02/11/2017 14:00”	86	19	16
“02/11/2017 15:00”	91	20	16
“02/11/2017 16:00”	97	15	15
“02/11/2017 17:00”	90	17	15
“02/11/2017 18:00”	76	25	19
“02/11/2017 19:00”	62	34	23
“02/11/2017 20:00”	43	49	21
“02/11/2017 21:00”	12	64	31
“02/11/2017 22:00”	8	69	27
“02/11/2017 23:00”	7	63	24
